timestamp,symbol,signal,entry_ltp,exit_ltp,pnl,smma20,smma120,smma_gap,smma20_slope,smma120_slope,smma_gap_change,ltp,return_1m,return_5m,return_20m,avg_ltp_20m,avg_ltp_60m,distance_from_avg_20m,distance_from_avg_60m,rolling_std_5m,rolling_std_20m,signal_buy,target
2026-08-11T12:17:00,SBIN,SELL,214.72,225.17,-10.45,220.142206767896,220.27735957763113,-0.135152809735132,-0.0012946623816900546,-0.00021196278171233833,-0.23867880292112886,214.72,-0.00162737713302643,-0.013733866152220886,-0.03574636249326391,214.72,214.72,0.0,0.0,0.0016184588457919644,0.002615686577616967,0.0,0
2026-08-11T12:34:00,SBIN,BUY,225.17,212.89,-12.28,220.32240257653856,220.19518541416252,0.12721716237604141,0.0011593578240238966,0.00018989108656641734,0.21333154191111703,225.17,0.0022700970355203015,0.01227297248696273,0.04216421364435798,225.17,225.17,0.0,0.0,0.0009308466559019661,0.002530295290655205,1.0,0
2026-08-11T12:50:00,SBIN,SELL,212.89,221.74,-8.85,220.2447743065116,220.29625890676536,-0.05148460025375812,-0.0017544763075443136,-0.0002824373501732335,-0.3248559147484684,212.89,-0.003463932968216117,-0.033240997229916996,-0.046960336646074,212.89,212.89,0.0,0.0,0.002059998430822825,0.0034656454746367425,0.0,0
2026-08-11T14:56:00,SBIN,BUY,221.74,217.26,-4.48,212.03153011234517,211.92737651222026,0.10415360012490282,0.00241570892281229,0.0003892423848644435,0.42851307844449593,221.74,0.00321223363344346,0.013575901631850797,0.051847635311417894,221.74,221.74,0.0,0.0,0.0007946592932746846,0.0031575106355016453,1.0,0
2026-08-12T11:12:00,SBIN,SELL,217.26,114.22,103.04,227.27574247856342,227.38296332134317,-0.10722084277975341,-0.0023140371412177117,-0.00037397307470861505,-0.4420774223102626,217.26,-0.0003220908296140505,-0.006357191859135672,-0.059032439689895605,217.26,217.26,0.0,0.0,0.0018313579336369614,0.0029475275288703326,0.0,1
2026-08-13T11:52:00,SBIN,BUY,114.22,109.79,-4.43,109.7605393029859,109.75069723142812,0.009842071557784493,0.0021429507169792063,0.0003423214949467178,0.19715129161511413,114.22,-0.001224204267226308,0.0025454226279293603,0.05827851385157039,114.22,114.22,0.0,0.0,0.0028374697346857554,0.0049648175632811325,1.0,0
2026-08-13T12:53:00,SBIN,SELL,109.79,111.84,-2.05,110.93038423314758,110.97770531427896,-0.04732108113138622,-0.0005407694754466142,-8.992634483714897e-05,-0.05003950587052941,109.79,-0.0029061847243664805,-0.010187522538766638,0.000546796682766812,109.79,109.79,0.0,0.0,0.0018603095837594632,0.005454558818911274,0.0,0
2026-08-13T13:01:00,SBIN,BUY,111.84,107.44,-4.4,111.00166429792398,110.9837088095546,0.0179554883693811,0.0003976559965633286,6.484006470748641e-05,0.03692720739874744,111.84,-0.0003575259206291745,0.012768269491985841,0.03469331112961421,111.84,111.84,0.0,0.0,0.0021910660990801423,0.0038055491597909913,1.0,0
2026-08-13T14:56:00,SBIN,SELL,107.44,59.9,47.54,121.52606908089615,121.94985682860134,-0.423787747705191,-0.006063528033221827,-0.0009988513446703743,-0.6194404869010128,107.44,-0.011500598031097617,-0.03119927862939592,-0.15040328957773205,107.44,107.44,0.0,0.0,0.0039016068149448032,0.003838691168276457,0.0,1
2026-08-14T13:26:00,SBIN,BUY,59.9,51.95,-7.95,46.963450497574954,46.706212492931975,0.2572380046429785,0.014711172847833943,0.002379468915605641,0.5699988625184886,59.9,0.0008354218880534195,0.03651150718117321,0.41140433553251654,59.9,59.9,0.0,0.0,0.0036548643471623764,0.009252710784074613,1.0,0
